kode_rutine,virkfom,iverksatt,ytelse_su,ytelse_su_ekt_under_67,ytelse_su_ekt_over_67,aldersgrense,id_beregn_faktor
SU,2006-01-01,2006-01-01,1.7933,2.2933,1.6433,18,122
SU,2006-05-01,2006-05-01,1.7933,2.2933,1.6433,18,123
SU,2007-05-01,2007-05-01,1.7933,2.2933,1.6433,18,124
SU,2008-05-01,2008-05-01,1.94,2.44,1.79,18,125
SU,2009-05-01,2009-05-01,1.97,2.47,1.82,18,130
SU,2010-05-01,2010-06-25,2,2.5,1.85,18,131
SU,2011-05-01,2011-06-25,2,2.5,1.85,18,132
SU,2012-05-01,2012-06-23,2,2.5,1.85,18,133
SU,2013-05-01,2013-06-15,2,2.5,1.85,18,134
SU,2014-05-01,2014-06-14,2,2.5,1.85,18,135
SU,2015-05-01,2015-05-25,2,2.5,1.85,0,136
SU,2016-01-01,2016-05-22,2,2.5,1.85,0,140
SU,2016-05-01,2016-05-22,2,2.5,1.85,0,139
SU,2016-09-01,2016-08-10,2,2.5,1.85,0,141
SU,2017-05-01,2017-05-21,2,2.5,1.85,0,142
SU,2017-09-01,2017-08-20,2,2.5,1.85,0,143
SU,2018-05-01,2018-05-27,2,2.5,1.85,0,145
SU,2019-05-01,2019-05-25,2,2.5,1.85,0,163
SU,2020-05-01,2020-09-18,2,2.5,1.85,0,198
SU,2021-01-01,2020-12-31,2,2.5,1.85,0,200
SU,2021-05-01,2021-11-19,2,2.5,1.85,0,170
SU,2022-05-01,2022-05-21,2,2.5,1.85,0,173
SU,2023-05-01,2023-05-27,2,2.5,1.85,0,174
SU,2024-05-01,2024-05-25,2,2.5,1.85,0,197
SU,2025-05-01,2025-05-24,2,2.5,1.85,0,572
