source_page,virkfom,iverksatt,category_code,category,annual_amount_nok,g_factor,validation
page-01.png,2026-05-01,2026-05-23,EN,SU Enslig,253787.00,,source_verified_outside_import
page-01.png,2026-05-01,2026-05-23,EU,SU m/ektefelle under 67 år,253787.00,,source_verified_outside_import
page-01.png,2026-05-01,2026-05-23,EO,SU m/ektefelle over 67 år,234765.00,,source_verified_outside_import
page-01.png,2026-05-01,2026-05-23,EV,SU Enslig med bofellesskap,234765.00,,source_verified_outside_import
page-02.png,2025-05-01,2025-05-24,EN,SU Enslig,242418.00,,source_verified
page-02.png,2025-05-01,2025-05-24,EU,SU m/ektefelle under 67 år,242418.00,,source_verified
page-02.png,2025-05-01,2025-05-24,EO,SU m/ektefelle over 67 år,224248.00,,source_verified
page-02.png,2025-05-01,2025-05-24,EV,SU Enslig med bofellesskap,224248.00,,source_verified
page-03.png,2024-05-01,2024-05-25,EN,SU Enslig,233746.00,,source_verified
page-03.png,2024-05-01,2024-05-25,EU,SU m/ektefelle under 67 år,233746.00,,source_verified
page-03.png,2024-05-01,2024-05-25,EO,SU m/ektefelle over 67 år,216226.00,,source_verified
page-03.png,2024-05-01,2024-05-25,EV,SU Enslig med bofellesskap,216226.00,,source_verified
page-04.png,2023-05-01,2023-05-27,EN,SU Enslig,227468.00,,source_verified
page-04.png,2023-05-01,2023-05-27,EU,SU m/ektefelle under 67 år,227468.00,,source_verified
page-04.png,2023-05-01,2023-05-27,EO,SU m/ektefelle over 67 år,210418.00,,source_verified
page-04.png,2023-05-01,2023-05-27,EV,SU Enslig med bofellesskap,210418.00,,source_verified
page-05.png,2022-05-01,2022-05-21,EN,SU Enslig,209571.00,,source_verified
page-05.png,2022-05-01,2022-05-21,EU,SU m/ektefelle under 67 år,209571.00,,source_verified
page-05.png,2022-05-01,2022-05-21,EO,SU m/ektefelle over 67 år,193862.00,,source_verified
page-05.png,2022-05-01,2022-05-21,EV,SU Enslig med bofellesskap,193862.00,,source_verified
page-06.png,2021-05-01,2021-11-19,EN,SU Enslig,202425.00,,source_verified
page-06.png,2021-05-01,2021-11-19,EU,SU m/ektefelle under 67 år,202425.00,,source_verified
page-06.png,2021-05-01,2021-11-19,EO,SU m/ektefelle over 67 år,187252.00,,source_verified
page-06.png,2021-05-01,2021-11-19,EV,SU Enslig med bofellesskap,187252.00,,source_verified
page-07.png,2021-01-01,2020-12-31,EN,SU Enslig,192125.00,,source_verified
page-07.png,2021-01-01,2020-12-31,EU,SU m/ektefelle under 67 år,192125.00,,source_verified
page-07.png,2021-01-01,2020-12-31,EO,SU m/ektefelle over 67 år,177724.00,,source_verified
page-07.png,2021-01-01,2020-12-31,EV,SU Enslig med bofellesskap,177724.00,,source_verified
page-08.png,2020-05-01,2020-09-18,EN,SU Enslig,193188.00,,source_verified
page-08.png,2020-05-01,2020-09-18,EU,SU m/ektefelle under 67 år,193188.00,,source_verified
page-08.png,2020-05-01,2020-09-18,EO,SU m/ektefelle over 67 år,183587.00,,source_verified
page-08.png,2020-05-01,2020-09-18,EV,SU Enslig med bofellesskap,183587.00,,source_verified
page-09.png,2019-05-01,2019-05-25,EN,SU Enslig,191422.00,,source_verified
page-09.png,2019-05-01,2019-05-25,EU,SU m/ektefelle under 67 år,191422.00,,source_verified
page-09.png,2019-05-01,2019-05-25,EO,SU m/ektefelle over 67 år,181908.00,,source_verified
page-09.png,2019-05-01,2019-05-25,EV,SU Enslig med bofellesskap,181908.00,,source_verified
page-10.png,2018-05-01,2018-05-27,EN,SU Enslig,186968.00,,source_verified
page-10.png,2018-05-01,2018-05-27,EU,SU m/ektefelle under 67 år,186968.00,,source_verified
page-10.png,2018-05-01,2018-05-27,EO,SU m/ektefelle over 67 år,177675.00,,source_verified
page-10.png,2018-05-01,2018-05-27,EV,SU Enslig med bofellesskap,177675.00,,source_verified
page-11.png,2017-09-01,2017-08-20,EN,SU Enslig,181744.00,,source_verified
page-11.png,2017-09-01,2017-08-20,EU,SU m/ektefelle under 67 år,181744.00,,source_verified
page-11.png,2017-09-01,2017-08-20,EO,SU m/ektefelle over 67 år,172711.00,,source_verified
page-11.png,2017-09-01,2017-08-20,EV,SU Enslig med bofellesskap,172711.00,,source_verified
page-12.png,2017-05-01,2017-05-21,EN,SU Enslig,180744.00,,source_verified
page-12.png,2017-05-01,2017-05-21,EU,SU m/ektefelle under 67 år,180744.00,,source_verified
page-12.png,2017-05-01,2017-05-21,EO,SU m/ektefelle over 67 år,171711.00,,source_verified
page-12.png,2017-05-01,2017-05-21,EV,SU Enslig med bofellesskap,171711.00,,source_verified
page-13.png,2016-09-01,2016-08-10,EN,SU Enslig,179748.00,,source_verified
